Address,Tinh,Huyen,Xa,ThoiGian
"Tân Hòa,H. Phú Tân,TnhAn Giang","An Giang","Phú Tân","Tân Hòa","0.01501"
"x2Trung Sơn,,TỉnhNghê An","Nghệ An","","Trung Sơn","0.01601"
"X.Nga Thanh hyện Nga son TỉnhThanhQ Hóa","Thanh Hóa","Nga Sơn","Nga Thành","0.017999"
"Thi trấ Ea. Knốp,H. Ea Kar,","","Ea Kar","Ea Knốp","0.021975"
"P Thủy Châu,T.X. hươngThủy,Thừa.t.Huế","Thừa Thiên Huế","Hương Thủy","Thủy Châu","0.015719"
"Xã Tân Lĩnh, H.Lục Yên, TYên Bái","Yên Bái","Lục Yên","Tân Lĩnh","0.015097"
" Muyện Châu Thành TỉnhĐồng Tháp","Đồng Tháp","Châu Thành","","0.015005"
",Diễn Châu,TỉnhNghệ An","Nghệ An","Diễn Châu","","0.014998"
"xã Bình Trung,,TLạng Son","Lạng Sơn","","Bình Trung","0.015679"
"X. Thanh Phongjc , Tỉnhthanh hóa","Thanh Hóa","","Thanh Phong","0.016911"
", H KBang, Gia Lai","Gia Lai","KBang","","0.014006"
" Điên Hải, Đông Hải, T bạc Liêu","Bạc Liêu","Đông Hải","Điền Hải","0.014986"
"Phườni Tràng Minh Q. Kiến An Thành phố Hải Phòng","Hải Phòng","Kiến An","Tràng Minh","0.015008"
"X. Hương Liên HuyệnHương Khê T Hà Tinh","Hà Tĩnh","Hương Khê","Hương Liên","0.015117"
"Xã Ninh Sở, Huyện Thường Tin, T.Phà Nội","Hà Nội","Thường Tín","Ninh Sở","0.015991"
" Cam Nhân HuyệnYên Bình TYên Bái","Yên Bái","Yên Bình","Cảm Nhân","0.016013"
", Nam Đông,T. T.T.H","Thừa Thiên Huế","Nam Đông","","0.015582"
"TTr.Quỳnh Côi,HQuỳnh Phụ,TThai Bình","Thái Bình","Quỳnh Phụ","Quỳnh Côi","0.015098"
"X.Phước Hiệp  Tỉnh Bến Tre","Bến Tre","","Phước Hiệp","0.017072"
"Phú Đô HuyệnPhú Lươnz ","","Phú Lương","Phú Đô","0.022006"
" H Ea H'leo T Đắk Lắk","Đắk Lắk","Ea H'leo","","0.014709"
"Xã Uar, Krông Pa, Tỉnh Gia Lai","Gia Lai","Krông Pa","Uar","0.014094"
"X.Thái Sơn, An Lão, hải Phòng","Hải Phòng","An Lão","Thái Sơn","0.016074"
"Xia Ake, HuyệnPhú Thiện, TGia Lai","Gia Lai","Phú Thiện","Ia Ake","0.01591"
"Xuân Tân t.P Long Khánh ","","Long Khánh","Xuân Tân","0.023009"
" Yn phú, HBắc Mê, TỉnhV Hà giang","Hà Giang","Bắc Mê","Yên Phú","0.015001"
" Đức Lĩnh,Vũ Quang,","","Vũ Quang","Đức Lĩnh","0.023241"
"X. HoDng Quỳ,,9hanh Hóa","Thanh Hóa","","","0.018008"
"XGia Hội,h.Văn Chấn,TỉnhYênKBái","Yên Bái","Văn Chấn","Gia Hội","0.016513"
"820/12 Hậu Giang, Phường 12 Quận 6, TP. Hồ Chí Minh","Hồ Chí Minh","6","12","0.015998"
" H.Bắc Mê TỉnhHà Giang","Hà Giang","Bắc Mê","","0.014982"
"XTâm Thsắng Cư Jút TỉnhĐắk Nông","Đắk Nông","Cư Jút","Tâm Thắng","0.016005"
"X. Hoằng Lưu, Hoăng Hóa, TỉnhThanh Hóa","Thanh Hóa","Hoằng Hóa","Hoằng Lưu","0.017001"
" tPPhổ Yên Tỉnh Thái Nguyên","Thái Nguyên","Phổ Yên","","0.016"
" H. Định Quán, Đồng Nai","Đồng Nai","Định Quán","","0.016998"
"Phường Phú Lợi  TBình Dương","Bình Dương","Thủ Dầu Một","","0.016021"
"X.Hiep Tung Huyện Năm Căn T.Cà Mau","Cà Mau","Năm Căn","Hiệp Tùng","0.017"
" Tự Lạn, HuyệnViệt Yên, T Bắc Giang","Bắc Giang","Việt Yên","Tự Lạn","0.015981"
" Hải An  Hải Lăng TQdung trị","Quảng Trị","Hải Lăng","Hải An","0.015504"
"F. Điện Nam Bắc, x TQuảng Nam","Quảng Nam","Tam Kỳ","","0.016"
"A:12A.21BlockA C/c BCA,P.AnKhánh,TP.Thủ Đức, TP. HCM","Hồ Chí Minh","Thủ Đức","An Khánh","0.019404"
"xã Vạn Kim, HuyệnMỹ Đức, T.P HNội","Hà Nội","Mỹ Đức","Vạn Kim","0.017"
"X Cam Bình, Thành FhốCam Rah,  Khánh Hòa","Khánh Hòa","Cam Lâm","","0.01702"
"Xã La Dêê  Quảng Nam","Quảng Nam","","La Dêê","0.016997"
"Mỹ Phú 5 Tường Lộc, Tam Bình, Vĩnh Long","Vĩnh Long","Tam Bình","Tường Lộc","0.018514"
" Huyện Khánh Sơn TKhánh Hòa","Khánh Hòa","Khánh Sơn","","0.017648"
"Xã Yên Sơn, Huyện Lục Nam, Tỉnh Bắc Giang","Bắc Giang","Lục Nam","Yên Sơn","0.018891"
"  Bắc Trà My TỉnhQuảng NaHm","Quảng Ngãi","Ba Tơ","","0.014005"
"Sín Chéng,HuyệnSi Ma Cai,TỉnhLào Cai","Lào Cai","Si Ma Cai","Sín Chéng","0.014997"
